Table_ID,Page,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Table_1,1,Shaping our,,,,,,,,,,,,,,,,,,
Table_1,1,"future impacts,",,,,,,,,,,,,,,,,,,
Table_1,1,today,,,,,,,,,,,,,,,,,,
Table_1,1,2023,,,,,,,,,,,,,,,,,,
Table_1,1,Sustainability,,,,,,,,,,,,,,,,,,
Table_1,1,Report,,,,,,,,,,,,,,,,,,
Table_1,1,,Stock Code: 00002,,,,,,,,,,,,,,,,,
Table_2,2,Contents,,,,,,,,,,,,,,,,,,
Table_2,2,Welcome,3,Respecting Nature,61,,,,,,,,,,,,,,,
Table_2,2,Welcome to CLPʼs 2023 Sustainability Report,4,Introduction,62,,,,,,,,,,,,,,,
Table_2,2,Chairman and CEO’s message,6,Governance,64,,,,,,,,,,,,,,,
Table_2,2,Sustainability-related targets and performance,8,Strategy,67,,,,,,,,,,,,,,,
Table_2,2,,,"Managing impacts, risks and performance",71,,,,,,,,,,,,,,,
Table_2,2,About this Report,9,,,,,,,,,,,,,,,,,
Table_2,2,,,Serving Our Stakeholders,86,,,,,,,,,,,,,,,
Table_2,2,Reporting frameworks and content indices,10,,,,,,,,,,,,,,,,,
Table_2,2,Reporting scope and data verification,12,Customers,87,,,,,,,,,,,,,,,
Table_2,2,,,Our people,116,,,,,,,,,,,,,,,
Table_2,2,,,Partners,133,,,,,,,,,,,,,,,
Table_2,2,Approach to Sustainability,17,Community,150,,,,,,,,,,,,,,,
Table_2,2,Governance,18,,,,,,,,,,,,,,,,,
Table_2,2,,,ESG Data Table and GHG,166,,,,,,,,,,,,,,,
Table_2,2,Risk management,23,,,,,,,,,,,,,,,,,
Table_2,2,,,Accounting Methodology,,,,,,,,,,,,,,,,
Table_2,2,Stakeholder management,25,,,,,,,,,,,,,,,,,
Table_2,2,Materiality assessment process,28,,,,,,,,,,,,,,,,,
Table_2,2,The materiality matrix,33,Economic value generated and distributed,167,,,,,,,,,,,,,,,
Table_2,2,,,ESG data table,168,,,,,,,,,,,,,,,
Table_2,2,,,GHG accounting methodology,201,,,,,,,,,,,,,,,
Table_2,2,Our Sustainability Agenda,46,,,,,,,,,,,,,,,,,
Table_2,2,,,Glossary,205,,,,,,,,,,,,,,,
Table_2,2,Transition to net zero,47,,,,,,,,,,,,,,,,,
Table_2,2,Energy growth opportunities,50,,,,,,,,,,,,,,,,,
Table_2,2,Energy security and reliability,52,,,,,,,,,,,,,,,,,
Table_2,2,"A safe, future-ready workforce",54,,,,,,,,,,,,,,,,,
Table_2,2,Business resilience,57,,,,,,,,,,,,,,,,,
Table_2,2,Community stewardship,59,,,,,,,,,,,,,,,,,
Table_3,3,Welcome,,,,,,,,,,,,,,,,,,
Table_3,3,Welcome to CLPʼs 2023,4,,,,,,,,,,,,,,,,,
Table_3,3,Sustainability Report,,,,,,,,,,,,,,,,,,
Table_3,3,Chairman and CEO’s message,6,,,,,,,,,,,,,,,,,
Table_3,3,Sustainability-related targets,8,,,,,,,,,,,,,,,,,
